frequency,amplitude,data_type,timestamp
20.0,0.125,audio,2025-09-29T00:00:00
25.0,0.118,audio,2025-09-29T00:00:00
31.0,0.142,audio,2025-09-29T00:00:00
39.0,0.095,audio,2025-09-29T00:00:00
49.0,0.178,audio,2025-09-29T00:00:00
62.0,0.205,audio,2025-09-29T00:00:00
78.0,0.156,audio,2025-09-29T00:00:00
98.0,0.089,audio,2025-09-29T00:00:00
123.0,0.234,audio,2025-09-29T00:00:00
155.0,0.167,audio,2025-09-29T00:00:00
196.0,0.298,audio,2025-09-29T00:00:00
247.0,0.345,audio,2025-09-29T00:00:00
311.0,0.267,audio,2025-09-29T00:00:00
392.0,0.189,audio,2025-09-29T00:00:00
494.0,0.423,audio,2025-09-29T00:00:00
622.0,0.356,audio,2025-09-29T00:00:00
784.0,0.278,audio,2025-09-29T00:00:00
988.0,0.145,audio,2025-09-29T00:00:00
1245.0,0.567,audio,2025-09-29T00:00:00
1568.0,0.445,audio,2025-09-29T00:00:00
1975.0,0.334,audio,2025-09-29T00:00:00
2489.0,0.223,audio,2025-09-29T00:00:00
3136.0,0.189,audio,2025-09-29T00:00:00
3950.0,0.156,audio,2025-09-29T00:00:00
4977.0,0.098,audio,2025-09-29T00:00:00
6267.0,0.067,audio,2025-09-29T00:00:00
7896.0,0.045,audio,2025-09-29T00:00:00
9953.0,0.034,audio,2025-09-29T00:00:00
12536.0,0.023,audio,2025-09-29T00:00:00
15793.0,0.018,audio,2025-09-29T00:00:00
19905.0,0.012,audio,2025-09-29T00:00:00
