protocol,timestamp,confidence_data,behaviors
VPN,2025-10-06 00:15:44.358814,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:44.670113,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:44.995067,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:48.203126,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:48.533162,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:48.839450,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:50.741176,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:51.049542,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:51.358885,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:51.995933,{'vpn_overhead': 1.0},{'vpn_overhead': ['vpn_tunneling']}
VPN,2025-10-06 00:15:54.499801,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:54.808787,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:55.120467,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:56.983047,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:57.283225,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:57.611690,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:57.921524,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:15:58.868432,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:01.076545,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:01.380904,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:03.275639,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:03.588475,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:03.902356,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:04.860459,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:05.170533,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:05.476880,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:07.058540,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:07.373133,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:07.683176,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:09.570340,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:09.875384,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:10.175466,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:11.461219,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:11.765649,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:12.078790,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:13.376989,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
