timestamp,pattern_type,active_layers,topology_indicators,leakage_indicators,confidence,fft_correlation
2025-10-06 00:02:16.732614,layered_network_activity,"['network_layer', 'transport_layer', 'session_layer']","[{'type': 'multi_layer_activity', 'active_layers': ['network_layer', 'transport_layer', 'session_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],0.4285714285714286,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.7184287613336967), 'data_link_layer': np.float64(1.2807041591405948), 'network_layer': np.float64(1.6227356175668817), 'transport_layer': np.float64(1.6056862187980907), 'session_layer': np.float64(1.6224252716569834), 'presentation_layer': np.float64(0.7963766715059835), 'application_layer': np.float64(0.8734910782344044)}, 'harmonic_relationships': []}"
2025-10-06 00:02:17.094246,layered_network_activity,"['network_layer', 'transport_layer']",[],[],0.2,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.7441302944980882), 'data_link_layer': np.float64(1.4853694765776195), 'network_layer': np.float64(1.8421532970840098), 'transport_layer': np.float64(1.966877924275651), 'session_layer': np.float64(1.1310603287525034), 'application_layer': np.float64(0.8290175816591566)}, 'harmonic_relationships': []}"
2025-10-06 00:02:17.441889,layered_network_activity,"['network_layer', 'transport_layer']",[],[],0.2,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.8237501023205068), 'data_link_layer': np.float64(1.4903433100864558), 'network_layer': np.float64(1.7560182387988998), 'transport_layer': np.float64(1.7503783661757513), 'session_layer': np.float64(0.9904374254743655), 'application_layer': np.float64(0.7740022120163975)}, 'harmonic_relationships': []}"
2025-10-06 00:02:17.732748,layered_network_activity,['network_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.384889565955285)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.237198579716936)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.797770888809528)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.6004200182734856)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(1.8647664279856722)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.8806028350508267), 'data_link_layer': np.float64(1.3703880355616558), 'network_layer': np.float64(1.5768182075691812), 'transport_layer': np.float64(1.4942345890341413), 'session_layer': np.float64(0.8338403091801775), 'application_layer': np.float64(0.7026869667103837)}, 'harmonic_relationships': []}"
2025-10-06 00:02:18.047481,layered_network_activity,['network_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.232882205119441)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.4875903142734384)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.9829161275861593)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.255523142524834)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.8362509978112942), 'data_link_layer': np.float64(1.2944270322147233), 'network_layer': np.float64(1.7171186882402951), 'transport_layer': np.float64(1.3075522393326933), 'session_layer': np.float64(0.668241219444996), 'presentation_layer': np.float64(0.5924613814379486), 'application_layer': np.float64(0.8306240945609463)}, 'harmonic_relationships': []}"
2025-10-06 00:02:18.347271,layered_network_activity,['data_link_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.6422141097381306)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(1.8229136451328827)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.9970848986744918)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.387437664705757)}]",[],0.9849650318251263,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.9396794250168359), 'data_link_layer': np.float64(1.56964608950513), 'network_layer': np.float64(1.3161329696923472), 'transport_layer': np.float64(1.4182924012596612), 'session_layer': np.float64(0.8526218097628652), 'presentation_layer': np.float64(0.6751918432396784), 'application_layer': np.float64(1.0473972129703206)}, 'harmonic_relationships': []}"
2025-10-06 00:02:18.641651,layered_network_activity,['data_link_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.443794688950925)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.0113262667591982)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.0044949964311147)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.229384973969511)}]",[],0.9689000926110749,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.1270080430570109), 'data_link_layer': np.float64(1.5902978221035546), 'network_layer': np.float64(1.4249696894495454), 'transport_layer': np.float64(1.4507708379774202), 'session_layer': np.float64(0.9271828660838218), 'presentation_layer': np.float64(0.8633373754366759), 'application_layer': np.float64(1.0628981763435212)}, 'harmonic_relationships': []}"
2025-10-06 00:02:18.939262,layered_network_activity,"['data_link_layer', 'network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(1.8039297178295013)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.7584817621211877)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.280824290086458)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.1386018708393135)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.439702446011186)}, {'type': 'multi_layer_activity', 'active_layers': ['data_link_layer', 'network_layer', 'transport_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.2149390389214636), 'data_link_layer': np.float64(1.8562212688750417), 'network_layer': np.float64(1.536125517284858), 'transport_layer': np.float64(1.6417101726748597), 'session_layer': np.float64(1.11430551916666), 'presentation_layer': np.float64(1.050391636183136), 'application_layer': np.float64(0.932412990148088)}, 'harmonic_relationships': []}"
2025-10-06 00:02:19.260266,layered_network_activity,"['data_link_layer', 'network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.7053064133301907)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.2226736116949453)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(3.8856652578554263)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(3.494174314856591)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.8669413052993216)}, {'type': 'multi_layer_activity', 'active_layers': ['data_link_layer', 'network_layer', 'transport_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.7892872468584421), 'data_link_layer': np.float64(1.5589584095219777), 'network_layer': np.float64(2.3238859475600746), 'transport_layer': np.float64(2.010840563358301), 'session_layer': np.float64(1.0376004052010628), 'presentation_layer': np.float64(1.189357263121995), 'application_layer': np.float64(0.7736770094653173)}, 'harmonic_relationships': []}"
2025-10-06 00:02:19.564435,layered_network_activity,"['network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.3829044750761323)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.334103207051135)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(3.4069607488550258)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(3.4735579751782573)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(3.6797162724505292)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(2.1438436194494046)}, {'type': 'layer_coupling', 'primary_layer': 'presentation_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(1.3701244804665849)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.5743498199079937), 'data_link_layer': np.float64(1.3249450502701337), 'network_layer': np.float64(2.041939504381537), 'transport_layer': np.float64(2.088777328634631), 'session_layer': np.float64(1.188349541021319), 'presentation_layer': np.float64(1.3349317675236554), 'application_layer': np.float64(0.8446851997935519)}, 'harmonic_relationships': []}"
